wavelength,n,k
220.0,1.6383915713316513,0.00012915433529766946
225.00000000000003,1.6315611709470548,0.0001321288469122173
230.00000000000003,1.625881847623269,0.00013509822704992842
235.00000000000003,1.6212521300056553,0.00013806269837749358
240.00000000000003,1.6175683836106045,0.00014102253580018523
245.00000000000003,1.6147251257559299,0.00014397806655658084
250.00000000000003,1.6126153151215852,0.00014692967097820918
255.0,1.611130686121932,0.000149877782876844
260.0,1.610162034648267,0.00015282289020211452
265.0,1.609599532839327,0.000155765535024268
270.0,1.6093328302189214,0.00015650556784745065
275.0,1.6091672816924116,9.917794228682676e-05
280.0,1.6089399193995824,7.962784529817774e-05
285.0,1.6107843618327482,6.757713642021926e-05
290.00000000000006,1.614090340846169,5.6278961320940785e-05
295.00000000000006,1.6135607452463203,4.231940778353443e-05
300.00000000000006,1.6093528363021345,3.308504985455921e-05
305.00000000000006,1.6006416509398536,2.5988118610114917e-05
310.0,1.5821804417638945,1.9125446750416487e-05
315.0,1.5620418125249227,1.3984835014443937e-05
320.0,1.5566814969161535,1.1477781102750216e-05
325.0,1.5611910799642021,9.48533455498965e-06
330.0,1.549377698767601,5.635910953537881e-06
335.0,1.556735420527073,4.292662935590115e-06
340.0,1.5613640143338046,3.30824731550414e-06
345.00000000000006,1.5559502868357833,2.277170501703212e-06
350.00000000000006,1.547047810126696,1.2630185523023607e-06
355.00000000000006,1.5369222739639206,1.5629792458255943e-07
360.00000000000006,1.5313333200439945,3.1156027189812496e-08
365.0,1.520175339856082,3.158869949829307e-08
370.0,1.5104158464687731,3.202137728349416e-08
375.0,1.5019522714694138,3.245406017779879e-08
380.0,1.4946795331766072,3.28867478030778e-08
385.0,1.4884898819888948,3.331943976910151e-08
390.0,1.4832728661345982,3.3752135670492855e-08
395.00000000000006,1.4789154981790702,3.418483508444735e-08
400.00000000000006,1.4752915204083514,3.461753751830357e-08
405.00000000000006,1.472134143527195,3.5050241801415915e-08
410.00000000000006,1.469325793878064,3.548294743377864e-08
415.00000000000006,1.466809875309507,3.59156541898167e-08
420.0,1.464529268380486,3.634836183211781e-08
425.0,1.4624263917724543,3.6781070111775394e-08
430.0,1.4604312748624624,3.721377870767744e-08
435.0,1.458534602047188,3.764648758898412e-08
440.0,1.456800438781126,3.807919709327637e-08
445.0,1.4552940268521122,3.8511907575353384e-08
450.00000000000006,1.4540808008777364,3.8944619404542575e-08
455.00000000000006,1.4531983718407628,3.9377332819510785e-08
460.00000000000006,1.452418181179462,3.9810046674608226e-08
465.00000000000006,1.4516740029816642,4.024276063505913e-08
470.00000000000006,1.4509644945141829,4.067547469963483e-08
475.0,1.4502883165581257,4.1108188866997435e-08
480.00000000000006,1.4496441249455396,4.15409031345872e-08
485.0,1.4490305664394794,4.1973617500603694e-08
490.00000000000006,1.4484462833486482,4.240633196189115e-08
495.0,1.447889918150664,4.283904651600262e-08
500.00000000000006,1.4473601049862999,4.327176115950729e-08
