wavelength_nm,R,T,a,b,eta,R_as,sqrt_arg,k,n,k_isnan,k_isinf,n_isnan,n_isinf
2.20000000e+02,2.31234845e-01,1.00000000e-03,-5.90998863e-01,5.91002247e-01,1.69204579e-09,2.31234454e-01,1.56503737e+00,6.81301534e-05,2.85258794e+00,False,False,False,False
2.25000000e+02,2.01954196e-01,1.00000000e-03,-6.36876105e-01,6.36879245e-01,1.57016024e-09,2.01953879e-01,1.26839992e+00,6.99364820e-05,2.63235345e+00,False,False,False,False
2.30000000e+02,1.84517211e-01,1.00000000e-03,-6.65011179e-01,6.65014187e-01,1.50373072e-09,1.84516933e-01,1.10985520e+00,7.16430738e-05,2.50603072e+00,False,False,False,False
2.35000000e+02,1.70082944e-01,1.00000000e-03,-6.88761319e-01,6.88764223e-01,1.45187870e-09,1.70082697e-01,9.87757839e-01,7.33269717e-05,2.40373873e+00,False,False,False,False
2.40000000e+02,1.54598046e-01,1.00000000e-03,-7.14703464e-01,7.14706262e-01,1.39917895e-09,1.54597830e-01,8.65240150e-01,7.50231755e-05,2.29592081e+00,False,False,False,False
2.45000000e+02,1.44214281e-01,1.00000000e-03,-7.32368197e-01,7.32370928e-01,1.36543086e-09,1.44214084e-01,7.87657468e-01,7.66778766e-05,2.22453377e+00,False,False,False,False
2.50000000e+02,1.36667280e-01,1.00000000e-03,-7.45342386e-01,7.45345069e-01,1.34166286e-09,1.36667096e-01,7.33444690e-01,7.83100433e-05,2.17301732e+00,False,False,False,False
2.55000000e+02,1.31493837e-01,1.00000000e-03,-7.54301956e-01,7.54304607e-01,1.32572670e-09,1.31493662e-01,6.97298651e-01,7.99229634e-05,2.13784825e+00,False,False,False,False
2.60000000e+02,1.27746694e-01,1.00000000e-03,-7.60824830e-01,7.60827458e-01,1.31436072e-09,1.27746526e-01,6.71620078e-01,8.15244059e-05,2.11243578e+00,False,False,False,False
2.65000000e+02,1.24747514e-01,1.00000000e-03,-7.66065915e-01,7.66068525e-01,1.30536848e-09,1.24747351e-01,6.51365048e-01,8.31200770e-05,2.09212639e+00,False,False,False,False
2.70000000e+02,1.21895890e-01,1.00000000e-03,-7.71065827e-01,7.71068421e-01,1.29690395e-09,1.21895732e-01,6.32348237e-01,8.47153123e-05,2.07283711e+00,False,False,False,False
2.75000000e+02,1.18591419e-01,1.00000000e-03,-7.76880087e-01,7.76882661e-01,1.28719781e-09,1.18591266e-01,6.10601678e-01,8.63157900e-05,2.05050489e+00,False,False,False,False
2.80000000e+02,1.14224993e-01,1.00000000e-03,-7.84596362e-01,7.84598911e-01,1.27453863e-09,1.14224848e-01,5.82335931e-01,8.79275991e-05,2.02101874e+00,False,False,False,False
2.85000000e+02,1.07242948e-01,1.00000000e-03,-7.97014153e-01,7.97016663e-01,1.25468089e-09,1.07242814e-01,5.38222038e-01,8.95663547e-05,1.97388697e+00,False,False,False,False
2.90000000e+02,9.87181288e-02,1.00000000e-03,-8.12308011e-01,8.12310473e-01,1.23105826e-09,9.87180073e-02,4.86110471e-01,9.12222098e-05,1.91627754e+00,False,False,False,False
2.95000000e+02,9.13781716e-02,1.00000000e-03,-8.25592627e-01,8.25595049e-01,1.21124935e-09,9.13780610e-02,4.42726465e-01,9.28683809e-05,1.86651243e+00,False,False,False,False
3.00000000e+02,8.64281923e-02,1.00000000e-03,-8.34612448e-01,8.34614844e-01,1.19815918e-09,8.64280887e-02,4.14218427e-01,9.44924032e-05,1.83280720e+00,False,False,False,False
3.05000000e+02,8.19501482e-02,1.00000000e-03,-8.42814530e-01,8.42816903e-01,1.18649899e-09,8.19500510e-02,3.88934607e-01,9.61130102e-05,1.80217692e+00,False,False,False,False
3.10000000e+02,7.79765839e-02,1.00000000e-03,-8.50126180e-01,8.50128532e-01,1.17629434e-09,7.79764922e-02,3.66893220e-01,9.77296906e-05,1.77485920e+00,False,False,False,False
3.15000000e+02,7.46290610e-02,1.00000000e-03,-8.56310375e-01,8.56312710e-01,1.16779928e-09,7.46289738e-02,3.48606639e-01,9.93409831e-05,1.75172445e+00,False,False,False,False
3.20000000e+02,7.20291409e-02,1.00000000e-03,-8.61128915e-01,8.61131238e-01,1.16126475e-09,7.20290573e-02,3.34579212e-01,1.00945356e-04,1.73366812e+00,False,False,False,False
3.25000000e+02,7.02638445e-02,1.00000000e-03,-8.64408319e-01,8.64410633e-01,1.15685914e-09,7.02637632e-02,3.25141097e-01,1.02541568e-04,1.72135918e+00,False,False,False,False
3.30000000e+02,6.88888839e-02,1.00000000e-03,-8.66966911e-01,8.66969217e-01,1.15344502e-09,6.88888044e-02,3.17837786e-01,1.04134086e-04,1.71174221e+00,False,False,False,False
3.35000000e+02,6.77093560e-02,1.00000000e-03,-8.69164845e-01,8.69167146e-01,1.15052821e-09,6.77092781e-02,3.11605730e-01,1.05724880e-04,1.70347013e+00,False,False,False,False
3.40000000e+02,6.66941093e-02,1.00000000e-03,-8.71058886e-01,8.71061182e-01,1.14802650e-09,6.66940327e-02,3.06266058e-01,1.07314211e-04,1.69633307e+00,False,False,False,False
3.45000000e+02,6.58119925e-02,1.00000000e-03,-8.72706233e-01,8.72708525e-01,1.14585945e-09,6.58119170e-02,3.01644819e-01,1.08902356e-04,1.69011852e+00,False,False,False,False
3.50000000e+02,6.50318540e-02,1.00000000e-03,-8.74164434e-01,8.74166722e-01,1.14394804e-09,6.50317796e-02,2.97571897e-01,1.10489611e-04,1.68461165e+00,False,False,False,False
3.55000000e+02,6.43225426e-02,1.00000000e-03,-8.75491304e-01,8.75493589e-01,1.14221431e-09,6.43224691e-02,2.93880167e-01,1.12076289e-04,1.67959570e+00,False,False,False,False
3.60000000e+02,6.36529067e-02,1.00000000e-03,-8.76744879e-01,8.76747160e-01,1.14058117e-09,6.36528341e-02,2.90404884e-01,1.13662727e-04,1.67485218e+00,False,False,False,False
3.65000000e+02,6.29879849e-02,1.00000000e-03,-8.77990516e-01,8.77992794e-01,1.13896299e-09,6.29879131e-02,2.86963595e-01,1.15249321e-04,1.67013402e+00,False,False,False,False
3.70000000e+02,6.23054115e-02,1.00000000e-03,-8.79270141e-01,8.79272416e-01,1.13730543e-09,6.23053406e-02,2.83440797e-01,1.16836341e-04,1.66528205e+00,False,False,False,False
3.75000000e+02,6.16229264e-02,1.00000000e-03,-8.80550532e-01,8.80552804e-01,1.13565170e-09,6.16228564e-02,2.79928394e-01,1.18423577e-04,1.66042181e+00,False,False,False,False
