wavelength_nm,R,T,u,v,w,R_as,denominator_k,log_arg,sqrt_arg,k,n,denominator_k_iszero,denominator_k_isneg,log_arg_isneg_or_zero,sqrt_arg_isneg,k_isnan,k_isinf,n_isnan,n_isinf
2.20000000e+02,5.85458740e-02,1.00000000e-03,1.11366513e+00,8.86337128e-01,2.27328001e-01,5.85458079e-02,2.56480613e-07,8.86335999e+02,2.64214946e-01,1.29154335e-04,1.63839157e+00,False,False,False,False,False,False,False,False
2.25000000e+02,5.75976030e-02,1.00000000e-03,1.11187872e+00,8.88123530e-01,2.23755192e-01,5.75975381e-02,2.51941840e-07,8.88122403e+02,2.59412596e-01,1.32128847e-04,1.63156117e+00,False,False,False,False,False,False,False,False
2.30000000e+02,5.68113170e-02,1.00000000e-03,1.11039611e+00,8.89606140e-01,2.20789968e-01,5.68112531e-02,2.48188763e-07,8.89605016e+02,2.55444825e-01,1.35098227e-04,1.62588185e+00,False,False,False,False,False,False,False,False
2.35000000e+02,5.61718460e-02,1.00000000e-03,1.10918942e+00,8.90812829e-01,2.18376586e-01,5.61717829e-02,2.45143373e-07,8.90811706e+02,2.52227394e-01,1.38062698e-04,1.62125213e+00,False,False,False,False,False,False,False,False
2.40000000e+02,5.56640170e-02,1.00000000e-03,1.10823055e+00,8.91771692e-01,2.16458860e-01,5.56639546e-02,2.42729315e-07,8.91770570e+02,2.49678347e-01,1.41022536e-04,1.61756838e+00,False,False,False,False,False,False,False,False
2.45000000e+02,5.52726590e-02,1.00000000e-03,1.10749125e+00,8.92510990e-01,2.14980261e-01,5.52725971e-02,2.40871579e-07,8.92509870e+02,2.47717564e-01,1.43978067e-04,1.61472513e+00,False,False,False,False,False,False,False,False
2.50000000e+02,5.49826000e-02,1.00000000e-03,1.10694311e+00,8.93059126e-01,2.13883988e-01,5.49825384e-02,2.39496188e-07,8.93058006e+02,2.46266350e-01,1.46929671e-04,1.61261532e+00,False,False,False,False,False,False,False,False
2.55000000e+02,5.47786690e-02,1.00000000e-03,1.10655764e+00,8.93444603e-01,2.13113032e-01,5.47786077e-02,2.38529953e-07,8.93443483e+02,2.45247087e-01,1.49877783e-04,1.61113069e+00,False,False,False,False,False,False,False,False
2.60000000e+02,5.46456930e-02,1.00000000e-03,1.10630623e+00,8.93696004e-01,2.12610231e-01,5.46456319e-02,2.37900243e-07,8.93694885e+02,2.44582923e-01,1.52822890e-04,1.61016203e+00,False,False,False,False,False,False,False,False
2.65000000e+02,5.45685020e-02,1.00000000e-03,1.10616028e+00,8.93841955e-01,2.12318328e-01,5.45684410e-02,2.37534826e-07,8.93840836e+02,2.44197551e-01,1.55765535e-04,1.60959953e+00,False,False,False,False,False,False,False,False
2.70000000e+02,5.45319230e-02,1.09881600e-03,1.10609132e+00,8.93911379e-01,2.12179944e-01,5.45318493e-02,2.86589629e-07,8.13521124e+02,2.44014912e-01,1.56505568e-04,1.60933283e+00,False,False,False,False,False,False,False,False
2.75000000e+02,5.45207840e-02,1.38210280e-02,1.10626007e+00,8.94167289e-01,2.12092784e-01,5.45091364e-02,4.53201778e-05,6.46806886e+01,2.43901574e-01,9.91779423e-05,1.60916728e+00,False,False,False,False,False,False,False,False
2.80000000e+02,5.45458410e-02,3.33790710e-02,1.10723060e+00,8.95261894e-01,2.11968702e-01,5.44779481e-02,2.64164898e-04,2.67837187e+01,2.43745944e-01,7.96278453e-05,1.60893992e+00,False,False,False,False,False,False,False,False
