wavelength_nm,R,T,a,b,eta,R_as,sqrt_arg,k,n,k_isnan,k_isinf,n_isnan,n_isinf
2.20000000e+02,5.85458740e-02,1.00000000e-03,-8.86334871e-01,8.86337128e-01,1.12824031e-09,5.85458079e-02,2.64214809e-01,3.92055148e-04,1.63839144e+00,False,False,False,False
2.25000000e+02,5.75976030e-02,1.00000000e-03,-8.88121278e-01,8.88123530e-01,1.12597092e-09,5.75975381e-02,2.59412452e-01,4.01004678e-04,1.63156103e+00,False,False,False,False
2.30000000e+02,5.68113170e-02,1.00000000e-03,-8.89603892e-01,8.89606140e-01,1.12409438e-09,5.68112531e-02,2.55444675e-01,4.09949077e-04,1.62588170e+00,False,False,False,False
2.35000000e+02,5.61718460e-02,1.00000000e-03,-8.90810584e-01,8.90812829e-01,1.12257169e-09,5.61717829e-02,2.52227238e-01,4.18888566e-04,1.62125197e+00,False,False,False,False
2.40000000e+02,5.56640170e-02,1.00000000e-03,-8.91769449e-01,8.91771692e-01,1.12136466e-09,5.56639546e-02,2.49678183e-01,4.27823422e-04,1.61756822e+00,False,False,False,False
2.45000000e+02,5.52726590e-02,1.00000000e-03,-8.92508749e-01,8.92510990e-01,1.12043579e-09,5.52725971e-02,2.47717394e-01,4.36753972e-04,1.61472495e+00,False,False,False,False
2.50000000e+02,5.49826000e-02,1.00000000e-03,-8.93056886e-01,8.93059126e-01,1.11974809e-09,5.49825384e-02,2.46266173e-01,4.45680594e-04,1.61261514e+00,False,False,False,False
2.55000000e+02,5.47786690e-02,1.00000000e-03,-8.93442365e-01,8.93444603e-01,1.11926498e-09,5.47786077e-02,2.45246902e-01,4.54603725e-04,1.61113050e+00,False,False,False,False
2.60000000e+02,5.46456930e-02,1.00000000e-03,-8.93693766e-01,8.93696004e-01,1.11895012e-09,5.46456319e-02,2.44582732e-01,4.63523851e-04,1.61016184e+00,False,False,False,False
2.65000000e+02,5.45685020e-02,1.00000000e-03,-8.93839717e-01,8.93841955e-01,1.11876741e-09,5.45684410e-02,2.44197352e-01,4.72441514e-04,1.60959933e+00,False,False,False,False
2.70000000e+02,5.45319230e-02,1.09881600e-03,-8.93908677e-01,8.93911379e-01,1.48416134e-09,5.45318493e-02,2.44014711e-01,4.74755071e-04,1.60933263e+00,False,False,False,False
2.75000000e+02,5.45207840e-02,1.38210280e-02,-8.93739927e-01,8.94167289e-01,2.95328976e-06,5.45091364e-02,2.43901492e-01,3.02866881e-04,1.60916720e+00,False,False,False,False
2.80000000e+02,5.45458410e-02,3.33790710e-02,-8.92769404e-01,8.95261894e-01,4.15984947e-05,5.44779481e-02,2.43745891e-01,2.44310194e-04,1.60893987e+00,False,False,False,False
2.85000000e+02,5.49344350e-02,5.76229590e-02,-8.89828517e-01,8.97260503e-01,2.14126529e-04,5.47310548e-02,2.45009516e-01,2.08280961e-04,1.61078432e+00,False,False,False,False
2.90000000e+02,5.57396170e-02,9.46944050e-02,-8.82660641e-01,9.02750202e-01,9.51184548e-04,5.51852928e-02,2.47280573e-01,1.74530929e-04,1.61409031e+00,False,False,False,False
2.95000000e+02,5.68969260e-02,1.70032143e-01,-8.60532479e-01,9.25289071e-01,5.50535111e-03,5.51124779e-02,2.46916249e-01,1.32738704e-04,1.61356073e+00,False,False,False,False
3.00000000e+02,5.83419010e-02,2.49844147e-01,-8.24297878e-01,9.63927063e-01,1.74427673e-02,5.45345908e-02,2.44028607e-01,1.05063805e-04,1.60935283e+00,False,False,False,False
3.05000000e+02,6.00100820e-02,3.34766900e-01,-7.71512169e-01,1.02152168e+00,4.18474540e-02,5.33420697e-02,2.38091388e-01,8.37281216e-05,1.60064164e+00,False,False,False,False
3.10000000e+02,6.18370070e-02,4.41764230e-01,-6.84994167e-01,1.11796223e+00,9.56349016e-02,5.08325678e-02,2.25692109e-01,6.29386360e-05,1.58218044e+00,False,False,False,False
3.15000000e+02,6.37582150e-02,5.42764335e-01,-5.81955557e-01,1.23168371e+00,1.76324635e-01,4.81243443e-02,2.12453736e-01,4.72845848e-05,1.56204181e+00,False,False,False,False
3.20000000e+02,6.61986170e-02,5.99996850e-01,-5.11988803e-01,1.30465222e+00,2.37797777e-01,4.74089477e-02,2.08981243e-01,3.97564798e-05,1.55668150e+00,False,False,False,False
3.25000000e+02,7.01944050e-02,6.47494245e-01,-4.45289647e-01,1.36940792e+00,2.99180633e-01,4.80106469e-02,2.11901175e-01,3.39224942e-05,1.56119108e+00,False,False,False,False
3.30000000e+02,7.49287620e-02,7.47445792e-01,-2.97081583e-01,1.52412543e+00,4.58574378e-01,4.64380192e-02,2.04284691e-01,2.22539106e-05,1.54937770e+00,False,False,False,False
3.35000000e+02,7.94629040e-02,7.83782609e-01,-2.33073367e-01,1.58479775e+00,5.29729032e-01,4.74161327e-02,2.09016069e-01,1.84114190e-05,1.55673542e+00,False,False,False,False
3.40000000e+02,8.28580470e-02,8.11315698e-01,-1.82916200e-01,1.63290875e+00,5.88200859e-01,4.80337542e-02,2.12013455e-01,1.56070027e-05,1.56136401e+00,False,False,False,False
3.45000000e+02,8.42452870e-02,8.42551928e-01,-1.28712943e-01,1.69001243e+00,6.57737948e-01,4.73115430e-02,2.08509236e-01,1.25020788e-05,1.55595029e+00,False,False,False,False
3.50000000e+02,8.48166270e-02,8.74402713e-01,-7.29805017e-02,1.75032756e+00,7.33338410e-01,4.61292479e-02,2.02795026e-01,9.38943254e-06,1.54704781e+00,False,False,False,False
3.55000000e+02,8.53292990e-02,9.09594786e-01,-9.25981655e-03,1.81921314e+00,8.23162052e-01,4.47928317e-02,1.96369197e-01,5.97555699e-06,1.53692227e+00,False,False,False,False
3.60000000e+02,8.43187920e-02,9.14681208e-01,-1.83036242e-03,1.82936333e+00,8.35805032e-01,4.40590807e-02,1.92856073e-01,5.58509009e-06,1.53133332e+00,False,False,False,False
3.65000000e+02,8.16455580e-02,9.17354442e-01,-1.83570888e-03,1.83470980e+00,8.40697596e-01,4.26027863e-02,1.85914677e-01,5.47838908e-06,1.52017534e+00,False,False,False,False
3.70000000e+02,7.93191190e-02,9.19680881e-01,-1.84036176e-03,1.83936268e+00,8.44967073e-01,4.13387141e-02,1.79922955e-01,5.39131478e-06,1.51041585e+00,False,False,False,False
3.75000000e+02,7.73110450e-02,9.21688955e-01,-1.84437791e-03,1.84337883e+00,8.48660984e-01,4.02500854e-02,1.74787606e-01,5.32267817e-06,1.50195227e+00,False,False,False,False
3.80000000e+02,7.55929010e-02,9.23407099e-01,-1.84781420e-03,1.84681512e+00,8.51827955e-01,3.93204389e-02,1.70420269e-01,5.27121754e-06,1.49467953e+00,False,False,False,False
3.85000000e+02,7.41362560e-02,9.24863744e-01,-1.85072749e-03,1.84972841e+00,8.54517538e-01,3.85335824e-02,1.66736676e-01,5.23559451e-06,1.48848988e+00,False,False,False,False
3.90000000e+02,7.29126760e-02,9.26087324e-01,-1.85317465e-03,1.85217558e+00,8.56780060e-01,3.78735433e-02,1.63655880e-01,5.21438931e-06,1.48327287e+00,False,False,False,False
3.95000000e+02,7.18937290e-02,9.27106271e-01,-1.85521254e-03,1.85421347e+00,8.58666478e-01,3.73245291e-02,1.61099620e-01,5.20609714e-06,1.47891550e+00,False,False,False,False
4.00000000e+02,7.10484250e-02,9.27951575e-01,-1.85690315e-03,1.85590408e+00,8.60232998e-01,3.68695150e-02,1.58985368e-01,5.20893362e-06,1.47529152e+00,False,False,False,False
