wavelength_nm,R,T,u,v,w,R_as,denominator_k,log_arg,sqrt_arg,k,n,denominator_k_iszero,denominator_k_isneg,log_arg_isneg_or_zero,sqrt_arg_isneg,k_isnan,k_isinf,n_isnan,n_isinf
2.20000000e+02,2.31234845e-01,1.00000000e-08,1.40900014e+00,5.90999863e-01,8.18000273e-01,2.31234845e-01,-2.22044605e-16,-3.68394573e+07,,,,False,True,True,False,True,False,True,False
2.25000000e+02,2.01954196e-01,1.00000000e-08,1.36312290e+00,6.36877105e-01,7.26245790e-01,2.01954196e-01,0.00000000e+00,inf,-inf,inf,,True,False,False,True,False,True,True,False
2.30000000e+02,1.84517211e-01,1.00000000e-08,1.33498782e+00,6.65012179e-01,6.69975641e-01,1.84517211e-01,0.00000000e+00,inf,-inf,inf,,True,False,False,True,False,True,True,False
2.35000000e+02,1.70082944e-01,1.00000000e-08,1.31123768e+00,6.88762319e-01,6.22475361e-01,1.70082944e-01,0.00000000e+00,inf,-inf,inf,,True,False,False,True,False,True,True,False
2.40000000e+02,1.54598046e-01,1.00000000e-08,1.28529554e+00,7.14704464e-01,5.70591072e-01,1.54598046e-01,0.00000000e+00,inf,-inf,inf,,True,False,False,True,False,True,True,False
2.45000000e+02,1.44214281e-01,1.00000000e-08,1.26763080e+00,7.32369197e-01,5.35261607e-01,1.44214281e-01,2.22044605e-16,2.41060397e+07,7.87658907e-01,6.38536896e-05,2.22453512e+00,False,False,False,False,False,False,False,False
2.50000000e+02,1.36667280e-01,1.00000000e-08,1.25465661e+00,7.45343386e-01,5.09313228e-01,1.36667280e-01,0.00000000e+00,inf,-inf,inf,,True,False,False,True,False,True,True,False
2.55000000e+02,1.31493837e-01,1.00000000e-08,1.24569704e+00,7.54302956e-01,4.91394089e-01,1.31493837e-01,0.00000000e+00,inf,-inf,inf,,True,False,False,True,False,True,True,False
2.60000000e+02,1.27746694e-01,1.00000000e-08,1.23917417e+00,7.60825830e-01,4.78348341e-01,1.27746694e-01,0.00000000e+00,inf,-inf,inf,,True,False,False,True,False,True,True,False
2.65000000e+02,1.24747514e-01,1.00000000e-08,1.23393309e+00,7.66066915e-01,4.67866171e-01,1.24747514e-01,2.22044605e-16,2.10708191e+07,6.51366143e-01,6.85194369e-05,2.09212750e+00,False,False,False,False,False,False,False,False
2.70000000e+02,1.21895890e-01,1.00000000e-08,1.22893317e+00,7.71066827e-01,4.57866346e-01,1.21895890e-01,0.00000000e+00,inf,-inf,inf,,True,False,False,True,False,True,True,False
2.75000000e+02,1.18591419e-01,1.00000000e-08,1.22311891e+00,7.76881087e-01,4.46237827e-01,1.18591419e-01,0.00000000e+00,inf,-inf,inf,,True,False,False,True,False,True,True,False
2.80000000e+02,1.14224993e-01,1.00000000e-08,1.21540264e+00,7.84597362e-01,4.30805276e-01,1.14224993e-01,0.00000000e+00,inf,-inf,inf,,True,False,False,True,False,True,True,False
2.85000000e+02,1.07242948e-01,1.00000000e-08,1.20298485e+00,7.97015153e-01,4.05969694e-01,1.07242948e-01,0.00000000e+00,inf,-inf,inf,,True,False,False,True,False,True,True,False
2.90000000e+02,9.87181288e-02,1.00000000e-08,1.18769099e+00,8.12309011e-01,3.75381977e-01,9.87181288e-02,0.00000000e+00,inf,-inf,inf,,True,False,False,True,False,True,True,False
2.95000000e+02,9.13781716e-02,1.00000000e-08,1.17440637e+00,8.25593627e-01,3.48812746e-01,9.13781716e-02,0.00000000e+00,inf,-inf,inf,,True,False,False,True,False,True,True,False
3.00000000e+02,8.64281923e-02,1.00000000e-08,1.16538655e+00,8.34613448e-01,3.30773104e-01,8.64281923e-02,0.00000000e+00,inf,-inf,inf,,True,False,False,True,False,True,True,False
3.05000000e+02,8.19501482e-02,1.00000000e-08,1.15718447e+00,8.42815530e-01,3.14368939e-01,8.19501482e-02,0.00000000e+00,inf,-inf,inf,,True,False,False,True,False,True,True,False
3.10000000e+02,7.79765839e-02,1.00000000e-08,1.14987282e+00,8.50127180e-01,2.99745640e-01,7.79765839e-02,0.00000000e+00,inf,-inf,inf,,True,False,False,True,False,True,True,False
3.15000000e+02,7.46290610e-02,1.00000000e-08,1.14368863e+00,8.56311375e-01,2.87377250e-01,7.46290610e-02,0.00000000e+00,inf,-inf,inf,,True,False,False,True,False,True,True,False
3.20000000e+02,7.20291409e-02,1.00000000e-08,1.13887008e+00,8.61129915e-01,2.77740169e-01,7.20291409e-02,0.00000000e+00,inf,-inf,inf,,True,False,False,True,False,True,True,False
3.25000000e+02,7.02638445e-02,1.00000000e-08,1.13559068e+00,8.64409319e-01,2.71181362e-01,7.02638445e-02,0.00000000e+00,inf,-inf,inf,,True,False,False,True,False,True,True,False
3.30000000e+02,6.88888839e-02,1.00000000e-08,1.13303209e+00,8.66967911e-01,2.66064179e-01,6.88888839e-02,0.00000000e+00,inf,-inf,inf,,True,False,False,True,False,True,True,False
3.35000000e+02,6.77093560e-02,1.00000000e-08,1.13083416e+00,8.69165845e-01,2.61668310e-01,6.77093560e-02,0.00000000e+00,inf,-inf,inf,,True,False,False,True,False,True,True,False
3.40000000e+02,6.66941093e-02,1.00000000e-08,1.12894011e+00,8.71059886e-01,2.57880229e-01,6.66941093e-02,0.00000000e+00,inf,-inf,inf,,True,False,False,True,False,True,True,False
3.45000000e+02,6.58119925e-02,1.00000000e-08,1.12729277e+00,8.72707233e-01,2.54585533e-01,6.58119925e-02,0.00000000e+00,inf,-inf,inf,,True,False,False,True,False,True,True,False
3.50000000e+02,6.50318540e-02,1.00000000e-08,1.12583457e+00,8.74165434e-01,2.51669132e-01,6.50318540e-02,0.00000000e+00,inf,-inf,inf,,True,False,False,True,False,True,True,False
3.55000000e+02,6.43225426e-02,1.00000000e-08,1.12450770e+00,8.75492304e-01,2.49015391e-01,6.43225426e-02,0.00000000e+00,inf,-inf,inf,,True,False,False,True,False,True,True,False
3.60000000e+02,6.36529067e-02,1.00000000e-08,1.12325412e+00,8.76745879e-01,2.46508242e-01,6.36529067e-02,2.22044605e-16,1.11017443e+07,2.90405265e-01,8.95459774e-05,1.67485270e+00,False,False,False,False,False,False,False,False
